[194, 181] 00B5 ---> [[206, 188]] 03BC 
[195, 128] 00C0 ---> [[195, 160]] 00E0 
[195, 129] 00C1 ---> [[195, 161]] 00E1 
[195, 130] 00C2 ---> [[195, 162]] 00E2 
[195, 131] 00C3 ---> [[195, 163]] 00E3 
[195, 132] 00C4 ---> [[195, 164]] 00E4 
[195, 133] 00C5 ---> [[195, 165]] 00E5 
[195, 134] 00C6 ---> [[195, 166]] 00E6 
[195, 135] 00C7 ---> [[195, 167]] 00E7 
[195, 136] 00C8 ---> [[195, 168]] 00E8 
[195, 137] 00C9 ---> [[195, 169]] 00E9 
[195, 138] 00CA ---> [[195, 170]] 00EA 
[195, 139] 00CB ---> [[195, 171]] 00EB 
[195, 140] 00CC ---> [[195, 172]] 00EC 
[195, 141] 00CD ---> [[195, 173]] 00ED 
[195, 142] 00CE ---> [[195, 174]] 00EE 
[195, 143] 00CF ---> [[195, 175]] 00EF 
[195, 144] 00D0 ---> [[195, 176]] 00F0 
[195, 145] 00D1 ---> [[195, 177]] 00F1 
[195, 146] 00D2 ---> [[195, 178]] 00F2 
[195, 147] 00D3 ---> [[195, 179]] 00F3 
[195, 148] 00D4 ---> [[195, 180]] 00F4 
[195, 149] 00D5 ---> [[195, 181]] 00F5 
[195, 150] 00D6 ---> [[195, 182]] 00F6 
[195, 152] 00D8 ---> [[195, 184]] 00F8 
[195, 153] 00D9 ---> [[195, 185]] 00F9 
[195, 154] 00DA ---> [[195, 186]] 00FA 
[195, 155] 00DB ---> [[195, 187]] 00FB 
[195, 156] 00DC ---> [[195, 188]] 00FC 
[195, 157] 00DD ---> [[195, 189]] 00FD 
[195, 158] 00DE ---> [[195, 190]] 00FE 
[195, 159] 00DF ---> [[115], [115]] 0073 0073 
[196, 128] 0100 ---> [[196, 129]] 0101 
[196, 130] 0102 ---> [[196, 131]] 0103 
[196, 132] 0104 ---> [[196, 133]] 0105 
[196, 134] 0106 ---> [[196, 135]] 0107 
[196, 136] 0108 ---> [[196, 137]] 0109 
[196, 138] 010A ---> [[196, 139]] 010B 
[196, 140] 010C ---> [[196, 141]] 010D 
[196, 142] 010E ---> [[196, 143]] 010F 
[196, 144] 0110 ---> [[196, 145]] 0111 
[196, 146] 0112 ---> [[196, 147]] 0113 
[196, 148] 0114 ---> [[196, 149]] 0115 
[196, 150] 0116 ---> [[196, 151]] 0117 
[196, 152] 0118 ---> [[196, 153]] 0119 
[196, 154] 011A ---> [[196, 155]] 011B 
[196, 156] 011C ---> [[196, 157]] 011D 
[196, 158] 011E ---> [[196, 159]] 011F 
[196, 160] 0120 ---> [[196, 161]] 0121 
[196, 162] 0122 ---> [[196, 163]] 0123 
[196, 164] 0124 ---> [[196, 165]] 0125 
[196, 166] 0126 ---> [[196, 167]] 0127 
[196, 168] 0128 ---> [[196, 169]] 0129 
[196, 170] 012A ---> [[196, 171]] 012B 
[196, 172] 012C ---> [[196, 173]] 012D 
[196, 174] 012E ---> [[196, 175]] 012F 
[196, 176] 0130 ---> [[105], [204, 135]] 0069 0307 
[196, 178] 0132 ---> [[196, 179]] 0133 
[196, 180] 0134 ---> [[196, 181]] 0135 
[196, 182] 0136 ---> [[196, 183]] 0137 
[196, 185] 0139 ---> [[196, 186]] 013A 
[196, 187] 013B ---> [[196, 188]] 013C 
[196, 189] 013D ---> [[196, 190]] 013E 
[196, 191] 013F ---> [[197, 128]] 0140 
[197, 129] 0141 ---> [[197, 130]] 0142 
[197, 131] 0143 ---> [[197, 132]] 0144 
[197, 133] 0145 ---> [[197, 134]] 0146 
[197, 135] 0147 ---> [[197, 136]] 0148 
[197, 137] 0149 ---> [[202, 188], [110]] 02BC 006E 
[197, 138] 014A ---> [[197, 139]] 014B 
[197, 140] 014C ---> [[197, 141]] 014D 
[197, 142] 014E ---> [[197, 143]] 014F 
